0,1,2,3,4
Сыр,Масло,Напитки,,
Бакалея,Сыр,Рыба,Чай,Молоко
Хлеб,Масло,,,
Сок,Курица,Консервы,Яблоки,Перец
Рыба,Перец,,,
Сыр,Курица,,,
Курица,Кофе,Перец,Мясо,
Томаты,Бакалея,Соль,Томаты,Молоко
Сок,Бакалея,Бакалея,Сладости,
Лук,Яблоки,Хлеб,Молоко,Курица
Напитки,Огурцы,Сок,,
Чай,Яйца,Яблоки,Напитки,Сладости
Консервы,Морковь,Соль,Яблоки,Овощи
Огурцы,Соль,,,
Масло,Бананы,Картошка,Сахар,Сок
Бакалея,Перец,Чай,Молоко,Мясо
Чай,Фрукты,Томаты,,
Бананы,Яблоки,Напитки,Лук,Бакалея
Сладости,Томаты,Мясо,Говядина,Рыба
Мука,Консервы,Напитки,,
Фрукты,Яйца,,,
Чай,Чай,Томаты,Яблоки,Сладости
Курица,Яйца,Кофе,Молоко,Огурцы
Томаты,Хлеб,Соль,Сок,Овощи
Огурцы,Сок,,,
Картошка,Морковь,Консервы,Фрукты,
Говядина,Морковь,,,
Сладости,Сок,Напитки,Сыр,Масло
Картошка,Мясо,Сладости,Сладости,Сок
Яблоки,Сахар,,,
Перец,Молоко,,,
Яйца,Томаты,Курица,,
Сладости,Яблоки,Огурцы,,
Курица,Картошка,Молоко,Масло,
Курица,Бакалея,Огурцы,,
Мука,Хлеб,Фрукты,Масло,
Сладости,Фрукты,,,
Лук,Молоко,Бакалея,Перец,
Консервы,Фрукты,Сладости,Сладости,
Лук,Чай,,,
Соль,Яйца,Картошка,,
Сахар,Лук,Рыба,Сок,
Перец,Хлеб,Морковь,,
Яйца,Молоко,,,
Огурцы,Яблоки,Морковь,Сладости,Молоко
Мука,Яблоки,Соль,,
Сок,Картошка,Картошка,Сыр,
Сок,Огурцы,Говядина,Чай,
Говядина,Бакалея,,,
Сладости,Морковь,Рыба,Мясо,
Огурцы,Морковь,Напитки,,
Говядина,Соль,Соль,,
Сок,Напитки,Кофе,Сок,Томаты
Курица,Яйца,,,
Овощи,Картошка,Фрукты,,
Кофе,Молоко,Сыр,Овощи,
Хлеб,Фрукты,Картошка,,
Сахар,Лук,Молоко,Курица,Томаты
Курица,Яйца,Напитки,Сок,
Молоко,Напитки,Картошка,Сок,Перец
